"DC_NOME","SG_ESTADO","CD_SITUACAO","VL_LATITUDE","VL_LONGITUDE","VL_ALTITUDE","DT_INICIO_OPERACAO","CD_ESTACAO"
"AMARGOSA","BA","Operante","-13.00944444","-39.61694443","397.8","7/10/2008","A434"
"ANGICAL DO PIAUI","PI","Pane","-6.08944444","-42.72749999","183","11/13/2019","A377"
"ANGRA DOS REIS","RJ","Pane","-22.97555554","-44.30333333","6","8/24/2017","A628"
"APIACAS","MT","Pane","-9.56333333","-57.3936111","217.75","10/23/2006","A910"
"APODI","RN","Pane","-5.62666666","-37.815","131.41","11/13/2007","A340"
"APUI","AM","Pane","-7.20555555","-59.8886111","156.97","7/18/2008","A113"
"AQUIDAUANA","MS","Operante","-20.47555554","-55.78388888","151.35","10/31/2006","A719"
"ARACAJU","SE","Operante","-10.9525","-37.05444444","3.72","2/11/2003","A409"
"ARACUAI","MG","Operante","-16.84888888","-42.03527777","308","5/18/2017","A566"
"ARAGARCAS","GO","Operante","-15.90277777","-52.24527777","327.35","7/12/2007","A013"
"ARAGUACU","TO","Operante","-12.59222221","-49.5286111","231","8/18/2015","A054"
"ARAGUAINA","TO","Operante","-7.10388888","-48.20111111","230.76","1/25/2007","A021"
"ARAGUATINS","TO","Operante","-5.6436111","-48.11194444","130.71","3/11/2009","A044"
"ARAPIRACA","AL","Operante","-9.80444444","-36.61916666","236.84","4/26/2008","A353"
"ARARANGUA","SC","Operante","-28.931353","-49.49792","2","9/27/2008","A867"
"ARAXA","MG","Operante","-19.60583333","-46.94972221","1018.32","12/18/2002","A505"
"ARCO VERDE","PE","Operante","-8.4336111","-37.05555555","683.95","11/19/2004","A309"
"AREIA","PB","Operante","-6.975451","-35.718128","573.45","11/15/2004","A310"
"ARIQUEMES","RO","Pane","-9.94888888","-62.96194444","128.44","7/17/2008","A940"
"ARIRANHA","SP","Operante","-21.13305554","-48.84055555","525.44","11/12/2007","A736"
"ARRAIAL DO CABO","RJ","Operante","-22.97527777","-42.02138888","5","9/21/2006","A606"
"AUTAZES","AM","Pane","-3.58333333","-59.12944443","19.9","4/16/2008","A120"
"AVARE","SP","Operante","-23.10166666","-48.9411111","776.36","9/21/2006","A725"
"BACABAL","MA","Operante","-4.24305555","-44.79499999","22.33","7/8/2008","A220"
"BAGE","RS","Operante","-31.34777777","-54.01333333","226.19","1/3/2007","A827"
"BAIXA GRANDE DO RIBEIRO","PI","Operante","-8.333531","-45.094625","519","3/22/2018","A375"
"BALSAS","MA","Pane","-7.45555555","-46.02749999","271.03","10/25/2007","A204"
"BAMBUI","MG","Pane","-20.0311111","-46.00888888","697","11/22/2016","A565"
"BARBACENA","MG","Operante","-21.22833332","-43.76777777","1168.76","12/4/2002","A502"
"BARBALHA","CE","Pane","-7.30083333","-39.2711111","409.41","5/30/2007","A315"
"BARCELOS","AM","Operante","-0.98722221","-62.92416666","29.88","4/18/2008","A128"
"BARRA","BA","Operante","-11.08472221","-43.13888888","407.5","5/11/2008","A429"
"BARRA BONITA","SP","Operante","-22.4711111","-48.5575","533.68","4/23/2008","A741"
"BARRA DO CORDA","MA","Pane","-5.50666666","-45.23694444","154.19","3/5/2008","A221"
"BARRA DO TURVO","SP","Operante","-24.96277777","-48.41638888","659.89","7/2/2008","A746"
"BARREIRAS","BA","Operante","-12.12472221","-45.02694443","474.17","12/19/2001","A402"
"BARRETOS","SP","Pane","-20.55916666","-48.54499999","534.36","6/18/2010","A748"
"BARUERI","SP","Operante","-23.52388888","-46.86944443","776.5","3/28/2011","A755"
"BATAGUASSU","MS","Operante","-21.75","-52.47138888","392.13","3/20/2013","A759"
"BAURU","SP","Operante","-22.35805555","-49.02888888","636.17","8/29/2001","A705"
"BEBEDOURO","SP","Operante","-20.94805555","-48.47138888","542","10/26/2016","A764"
"BELEM","PA","Operante","-1.411228","-48.439512","21.17","1/19/2003","A201"
"BELMONTE","BA","Operante","-16.08805555","-39.21527777","89.67","7/1/2009","A447"
"BELO HORIZONTE (PAMPULHA)","MG","Operante","-19.88388888","-43.96944443","854.02","10/9/2006","A521"
"BELO HORIZONTE - CERCADINHO","MG","Operante","-19.97999999","-43.95861111","1199.55","12/26/2013","F501"
"BENTO GONCALVES","RS","Operante","-29.164581","-51.534202","623.27","11/30/2006","A840"
"BERTIOGA","SP","Operante","-23.84472221","-46.14333333","5","1/31/2017","A765"
"BOA VISTA","RR","Pane","2.81694443","-60.69083333","82.35","8/25/2010","A135"
"BOCA DO ACRE","AM","Operante","-8.77666666","-67.33249999","111.98","7/14/2008","A110"
"BOM JARDIM DA SERRA - MORRO DA IGREJA","SC","Operante","-28.12694443","-49.47972221","1790.38","6/16/2007","A845"
"BOM JESUS DA LAPA","BA","Pane","-13.25111111","-43.40527777","447.75","5/17/2007","A418"
"BOM JESUS DO PIAUI","PI","Operante","-9.07999999","-44.32777777","288","7/16/2007","A326"
"BRAGANCA","PA","Operante","-1.05583333","-46.78277777","5.6","3/10/2008","A226"
"BRAGANCA PAULISTA","SP","Operante","-22.94916666","-46.5261111","891","12/19/2017","A744"
"BRASILIA","DF","Operante","-15.78944444","-47.92583332","1160.96","5/6/2000","A001"
"BRASNORTE (NOVO MUNDO)","MT","Operante","-12.52194443","-58.23138888","426.2","2/28/2008","A927"
"BRAZLANDIA","DF","Operante","-15.59972221","-48.1311111","1143","7/18/2017","A042"
"BREJO GRANDE","SE","Operante","-10.47388888","-36.48194443","6.11","7/16/2008","A421"
"BREVES","PA","Pane","-1.68027777","-50.47805554","11","10/19/2017","A228"
"BRUMADO","BA","Operante","-14.18194443","-41.67222221","473.37","4/27/2008","A433"
"BURITICUPU","MA","Operante","-4.32055554","-46.44944444","174.91","9/10/2008","A238"
"BURITIRAMA","BA","Pane","-10.72305554","-43.65111111","506.06","5/14/2008","A432"
"BURITIS","MG","Operante","-15.52416666","-46.43555555","894","6/18/2007","A544"
"CABACEIRAS","PB","Operante","-7.48333333","-36.28638888","391.96","2/27/2008","A348"
"CABROBO","PE","Operante","-8.50388888","-39.31527777","342.74","9/3/2007","A329"
"CACADOR","SC","Operante","-26.819156","-50.98552","944.26","3/18/2008","A859"
"CACAPAVA DO SUL","RS","Operante","-30.54527777","-53.46694443","420.82","6/21/2006","A812"
"CACHOEIRA PAULISTA","SP","Operante","-22.68888888","-45.00555555","586","10/19/2017","A769"
"CACOAL","RO","Operante","-11.44583333","-61.43416666","183.53","7/19/2008","A939"
"CAIAPONIA","GO","Operante","-16.96694443","-51.81749999","740.1","5/20/2007","A023"
"CAICO","RN","Operante","-6.46749999","-37.08499999","171.26","1/6/2007","A316"
"CALCANHAR","RN","Operante","-5.16","-35.48749999","9.82","5/7/2008","A344"
"CALDAS","MG","Operante","-21.918066","-46.382996","1077.34","11/27/2006","A530"
"CAMAQUA","RS","Operante","-30.80805555","-51.83416666","92.3","12/11/2006","A838"
"CAMARATUBA","PB","Operante","-6.56194444","-35.13527777","135.51","5/3/2008","A352"
